"File","Status","BeforeMB","AfterMB","SavedMB"
"3rd_floor_without_chairs.glb","replaced","628.45","472.86","155.59"
"3rd_floor_piller.glb","kept-original-larger-output","1.23","1.23","0"
"3rd_floor_base.glb","replaced","0.61","0.61","0"
"3rd_floor_base_wall.glb","kept-original-larger-output","4.85","4.85","0"
"3rd_cc1.glb","kept-original-larger-output","0","0","0"
"3rd_cc2.glb","kept-original-larger-output","0","0","0"
"3rd_cc3.glb","kept-original-larger-output","0","0","0"
"3rd_cc4.glb","kept-original-larger-output","0","0","0"
"3rd_cc5.glb","kept-original-larger-output","0","0","0"
"3rd_cc6.glb","kept-original-larger-output","0","0","0"
"3rd_cc6 (1).glb","kept-original-larger-output","0","0","0"
"3rd_cc8.glb","kept-original-larger-output","0","0","0"
"3rd_cc_meeting_room.glb","kept-original-larger-output","0","0","0"
"1.glb","kept-original-larger-output","1.86","1.86","0"
"2.glb","kept-original-larger-output","1.86","1.86","0"
"3.glb","kept-original-larger-output","1.86","1.86","0"
"4.glb","kept-original-larger-output","1.86","1.86","0"
"5.glb","kept-original-larger-output","1.86","1.86","0"
"6.glb","kept-original-larger-output","1.87","1.87","0"
"7.glb","kept-original-larger-output","1.88","1.88","0"
"8.glb","kept-original-larger-output","1.87","1.87","0"
"9.glb","kept-original-larger-output","1.86","1.86","0"
"10.glb","kept-original-larger-output","1.87","1.87","0"
"11.glb","kept-original-larger-output","1.87","1.87","0"
"12.glb","kept-original-larger-output","1.87","1.87","0"
"13.glb","kept-original-larger-output","1.86","1.86","0"
"14.glb","kept-original-larger-output","1.85","1.85","0"
"15.glb","kept-original-larger-output","1.86","1.86","0"
"16.glb","kept-original-larger-output","1.86","1.86","0"
"17.glb","kept-original-larger-output","1.86","1.86","0"
"18.glb","kept-original-larger-output","1.86","1.86","0"
"19.glb","kept-original-larger-output","1.86","1.86","0"
"20.glb","kept-original-larger-output","1.87","1.87","0"
"21.glb","kept-original-larger-output","1.88","1.88","0"
"22.glb","kept-original-larger-output","1.86","1.86","0"
"23.glb","kept-original-larger-output","1.87","1.87","0"
"24.glb","kept-original-larger-output","1.87","1.87","0"
"25.glb","kept-original-larger-output","1.87","1.87","0"
"26.glb","kept-original-larger-output","1.86","1.86","0"
"27.glb","kept-original-larger-output","1.86","1.86","0"
"28.glb","kept-original-larger-output","1.86","1.86","0"
"29.glb","kept-original-larger-output","1.86","1.86","0"
"30.glb","kept-original-larger-output","1.86","1.86","0"
"31.glb","kept-original-larger-output","1.86","1.86","0"
"32.glb","kept-original-larger-output","1.86","1.86","0"
"33.glb","kept-original-larger-output","1.86","1.86","0"
"34.glb","kept-original-larger-output","1.83","1.83","0"
